,Name,Count,Flag
305,"('INCREASE', 'BROWN')",3,Stopwords
306,"('INCREASE', 'MEDIUM')",4,Stopwords
307,"('INCREASE', 'REMOVE')",6,Stopwords
308,"('INCREASE', 'ADD')",6,Stopwords
309,"('INCREASE', 'RUB')",1,Clean
310,"('INCREASE', 'SEE')",1,Stopwords
311,"('INCREASE', 'LOOSEN')",1,Clean
312,"('INCREASE', 'THAW')",1,Clean
313,"('INCREASE', 'BE')",6,Stopwords
314,"('INCREASE', 'REDUCE')",1,Clean
315,"('INCREASE', 'FROZEN')",1,Stopwords
316,"('BROWN', 'MEDIUM')",7,Stopwords
317,"('BROWN', 'REMOVE')",12,Stopwords
318,"('BROWN', 'RUB')",3,Stopwords
319,"('BROWN', 'SEE')",5,Stopwords
320,"('BROWN', 'LOOSEN')",1,Stopwords
321,"('BROWN', 'THAW')",1,Stopwords
322,"('BROWN', 'BE')",15,Stopwords
323,"('BROWN', 'REDUCE')",13,Stopwords
324,"('BROWN', 'FROZEN')",1,Stopwords
325,"('MEDIUM', 'REMOVE')",6,Stopwords
326,"('MEDIUM', 'ADD')",16,Stopwords
327,"('MEDIUM', 'RUB')",1,Stopwords
328,"('MEDIUM', 'SEE')",4,Stopwords
329,"('MEDIUM', 'LOOSEN')",1,Stopwords
330,"('MEDIUM', 'THAW')",1,Stopwords
331,"('MEDIUM', 'BE')",6,Stopwords
332,"('MEDIUM', 'REDUCE')",17,Stopwords
333,"('MEDIUM', 'FROZEN')",1,Stopwords
334,"('REMOVE', 'RUB')",6,Stopwords
335,"('REMOVE', 'SEE')",15,Stopwords
336,"('REMOVE', 'LOOSEN')",4,Stopwords
337,"('REMOVE', 'THAW')",1,Stopwords
338,"('REMOVE', 'REDUCE')",38,Stopwords
339,"('REMOVE', 'FROZEN')",1,Stopwords
340,"('ADD', 'RUB')",2,Stopwords
341,"('ADD', 'SEE')",25,Stopwords
342,"('ADD', 'LOOSEN')",4,Stopwords
343,"('ADD', 'THAW')",2,Stopwords
344,"('ADD', 'FROZEN')",1,Stopwords
345,"('RUB', 'SEE')",2,Stopwords
346,"('RUB', 'LOOSEN')",1,Clean
347,"('RUB', 'THAW')",1,Clean
348,"('RUB', 'BE')",4,Stopwords
349,"('RUB', 'REDUCE')",3,Clean
350,"('RUB', 'FROZEN')",1,Stopwords
351,"('SEE', 'LOOSEN')",1,Stopwords
352,"('SEE', 'THAW')",2,Stopwords
353,"('SEE', 'BE')",11,Stopwords
354,"('SEE', 'REDUCE')",12,Stopwords
355,"('SEE', 'FROZEN')",1,Stopwords
356,"('LOOSEN', 'THAW')",1,Clean
357,"('LOOSEN', 'BE')",2,Stopwords
358,"('LOOSEN', 'REDUCE')",2,Clean
359,"('LOOSEN', 'FROZEN')",1,Stopwords
360,"('THAW', 'BE')",2,Stopwords
361,"('THAW', 'REDUCE')",1,Clean
362,"('THAW', 'FROZEN')",1,Stopwords
363,"('BE', 'REDUCE')",23,Stopwords
364,"('BE', 'FROZEN')",1,Stopwords
365,"('REDUCE', 'FROZEN')",1,Stopwords
366,"('COOK', 'PUT')",5,Stopwords
367,"('COOK', 'START')",8,Stopwords
368,"('COOK', 'TURN')",21,Stopwords
369,"('COOK', 'STUFF')",1,Stopwords
370,"('COOK', 'TRY')",1,Stopwords
371,"('COOK', 'USE')",16,Stopwords
372,"('COOK', 'WRAP')",2,Stopwords
373,"('COOK', 'COOL')",4,Stopwords
374,"('COOK', 'GIVE')",4,Stopwords
375,"('COOK', 'FLIP')",7,Stopwords
376,"('COOK', 'TELL')",1,Stopwords
377,"('COOK', 'HELP')",8,Stopwords
378,"('COOK', 'LET')",35,Stopwords
379,"('COOK', 'KEEP')",21,Stopwords
380,"('COOK', 'FRY')",4,Stopwords
381,"('PUT', 'START')",1,Clean
382,"('PUT', 'TURN')",6,Clean
383,"('PUT', 'STUFF')",1,Clean
384,"('PUT', 'TRY')",1,Clean
385,"('PUT', 'USE')",2,Stopwords
386,"('PUT', 'REMOVE')",4,Stopwords
387,"('PUT', 'WRAP')",1,Clean
